word,label,confidence,reason
वक्त,correct spelling,high,in reference vocabulary
बीत,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
रात,correct spelling,high,in reference vocabulary
आई,correct spelling,high,in reference vocabulary
हमने,correct spelling,high,in reference vocabulary
टेंट,correct spelling,high,in reference vocabulary
गड़ा,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
और,correct spelling,high,in reference vocabulary
रहा,correct spelling,high,in reference vocabulary
पता,correct spelling,high,in reference vocabulary
जैसी,correct spelling,high,in reference vocabulary
हुआ,correct spelling,high,in reference vocabulary
शाम,correct spelling,high,in reference vocabulary
छै,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
सात,correct spelling,high,in reference vocabulary
इतना,correct spelling,high,in reference vocabulary
अजीब,correct spelling,high,in reference vocabulary
सा,correct spelling,high,in reference vocabulary
आवाज,correct spelling,high,in reference vocabulary
आने,correct spelling,high,in reference vocabulary
लगा,correct spelling,high,in reference vocabulary
डर,correct spelling,high,in reference vocabulary
अगर,correct spelling,high,in reference vocabulary
कोई,correct spelling,high,in reference vocabulary
टैंट,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
उखाड़,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
ही,correct spelling,high,in reference vocabulary
बाग,correct spelling,high,in reference vocabulary
जाते,correct spelling,high,in reference vocabulary
आया,correct spelling,high,in reference vocabulary
ऐसा,correct spelling,high,in reference vocabulary
लगता,correct spelling,high,in reference vocabulary
सारे,correct spelling,high,in reference vocabulary
सब,correct spelling,high,in reference vocabulary
अपना,correct spelling,high,in reference vocabulary
कैम्प,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
डाल,correct spelling,high,in reference vocabulary
रह,correct spelling,high,in reference vocabulary
अकेली,correct spelling,high,in reference vocabulary
सारा,correct spelling,high,in reference vocabulary
बैठे,correct spelling,high,in reference vocabulary
मुझे,correct spelling,high,in reference vocabulary
करनी,correct spelling,high,in reference vocabulary
घूमने,correct spelling,high,in reference vocabulary
बात,correct spelling,high,in reference vocabulary
को,correct spelling,high,in reference vocabulary
छः,correct spelling,high,in reference vocabulary
आठ,correct spelling,high,in reference vocabulary
किलोमीटर,correct spelling,high,in reference vocabulary
नौ,correct spelling,high,in reference vocabulary
बजे,correct spelling,high,in reference vocabulary
बाद,correct spelling,high,in reference vocabulary
शांति,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
सुकुन,correct spelling,high,in reference vocabulary
मिला,correct spelling,high,in reference vocabulary
सुबह,correct spelling,high,in reference vocabulary
घर,correct spelling,high,in reference vocabulary
उठते,correct spelling,high,in reference vocabulary
हैं,correct spelling,high,in reference vocabulary
ये,correct spelling,high,in reference vocabulary
काम,correct spelling,high,in reference vocabulary
करो,correct spelling,high,in reference vocabulary
सर,correct spelling,high,in reference vocabulary
उठाने,correct spelling,high,in reference vocabulary
वाला,correct spelling,high,in reference vocabulary
आराम,correct spelling,high,in reference vocabulary
सो,correct spelling,high,in reference vocabulary
रहे,correct spelling,high,in reference vocabulary
दस,correct spelling,high,in reference vocabulary
बज,correct spelling,high,in reference vocabulary
सुना,correct spelling,high,in reference vocabulary
खंड,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
ऐसे,correct spelling,high,in reference vocabulary
हम्म,correct spelling,high,in reference vocabulary
लोग,correct spelling,high,in reference vocabulary
होती,correct spelling,high,in reference vocabulary
मम्मी,correct spelling,high,in reference vocabulary
आती,correct spelling,high,in reference vocabulary
आए,correct spelling,high,in reference vocabulary
कैसे,correct spelling,high,in reference vocabulary
उठाएं,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
उठा,correct spelling,high,in reference vocabulary
बाहर,correct spelling,high,in reference vocabulary
कर,correct spelling,high,in reference vocabulary
दिया,correct spelling,high,in reference vocabulary
उखाड़,correct spelling,medium,in reference vocabulary; not NFC normalized
हाँ,correct spelling,high,in reference vocabulary
अराम,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
उठे,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
उन,correct spelling,high,in reference vocabulary
चिला,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
मेको,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
समझ,correct spelling,high,in reference vocabulary
आ,correct spelling,high,in reference vocabulary
क्या,correct spelling,high,in reference vocabulary
बोल,correct spelling,high,in reference vocabulary
हुर,correct spelling,high,in reference vocabulary
बदक,correct spelling,high,in reference vocabulary
उड़न्टा,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
पटक,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
बार,correct spelling,high,in reference vocabulary
किस,correct spelling,high,in reference vocabulary
भाषा,correct spelling,high,in reference vocabulary
हमारे,correct spelling,high,in reference vocabulary
गार्ड,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
अंकल,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
आके,correct spelling,high,in reference vocabulary
बताए,correct spelling,high,in reference vocabulary
सायद,correct spelling,high,in reference vocabulary
खतरा,correct spelling,high,in reference vocabulary
महसूस,correct spelling,high,in reference vocabulary
बाहरी,correct spelling,high,in reference vocabulary
अपने,correct spelling,high,in reference vocabulary
किए,correct spelling,high,in reference vocabulary
हमको,correct spelling,high,in reference vocabulary
छोड़,correct spelling,high,in reference vocabulary
दिए,correct spelling,high,in reference vocabulary
अ,correct spelling,medium,"in reference vocabulary; single character, likely noise"
रोड,correct spelling,high,in reference vocabulary
पे,correct spelling,high,in reference vocabulary
छोड़ने,correct spelling,high,in reference vocabulary
अपनी,correct spelling,high,in reference vocabulary
दुबारा,correct spelling,high,in reference vocabulary
घाटे,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
जाएंगे,correct spelling,high,in reference vocabulary
अमेजन,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
जंगन,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
उससे,correct spelling,high,in reference vocabulary
थोड़ा,correct spelling,high,in reference vocabulary
जुड़ा,correct spelling,high,in reference vocabulary
लाइट,correct spelling,high,in reference vocabulary
वगैरा,correct spelling,high,in reference vocabulary
लेकर,correct spelling,high,in reference vocabulary
जाने,correct spelling,high,in reference vocabulary
चाहिए,correct spelling,high,in reference vocabulary
ने,correct spelling,high,in reference vocabulary
मिस्टेक,correct spelling,high,in reference vocabulary
ले,correct spelling,high,in reference vocabulary
जहां,correct spelling,high,in reference vocabulary
रहेगा,correct spelling,high,in reference vocabulary
वहा,correct spelling,high,in reference vocabulary
मजा,correct spelling,high,in reference vocabulary
आएगा,correct spelling,high,in reference vocabulary
होनी,correct spelling,high,in reference vocabulary
बढ़ना,correct spelling,high,in reference vocabulary
भूल,correct spelling,high,in reference vocabulary
जायेगा,correct spelling,high,in reference vocabulary
आपको,correct spelling,high,in reference vocabulary
तंबू,correct spelling,high,in reference vocabulary
गाड़,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
रहते,correct spelling,high,in reference vocabulary
वगेरा,correct spelling,high,in reference vocabulary
कहीं,correct spelling,high,in reference vocabulary
कैम्पिंग,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
करने,correct spelling,high,in reference vocabulary
आसपास,correct spelling,high,in reference vocabulary
आग,correct spelling,high,in reference vocabulary
लहरा,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
देना,correct spelling,high,in reference vocabulary
जी,correct spelling,high,in reference vocabulary
हा,correct spelling,high,in reference vocabulary
हापहली,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
थाक्या,correct spelling,high,in reference vocabulary
आप,correct spelling,high,in reference vocabulary
कैंपिंग,correct spelling,high,in reference vocabulary
रास्ते,correct spelling,high,in reference vocabulary
होते,correct spelling,high,in reference vocabulary
हैथोड़े,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
हैवो,correct spelling,high,in reference vocabulary
उबड़खाबड़,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
जंगलों,correct spelling,high,in reference vocabulary
किसी,correct spelling,high,in reference vocabulary
एडवेंचर,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
इसी,correct spelling,high,in reference vocabulary
माहौल,correct spelling,high,in reference vocabulary
उसे,correct spelling,high,in reference vocabulary
सबको,correct spelling,high,in reference vocabulary
आह,correct spelling,high,in reference vocabulary
सीधे,correct spelling,high,in reference vocabulary
सोई,correct spelling,high,in reference vocabulary
हुए,correct spelling,high,in reference vocabulary
टांक,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
लिया,correct spelling,high,in reference vocabulary
साउन,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
आपके,correct spelling,high,in reference vocabulary
हाहाहाआपको,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
लग,correct spelling,high,in reference vocabulary
होगा,correct spelling,high,in reference vocabulary
अहम,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
टी,correct spelling,high,in reference vocabulary
अह,correct spelling,high,in reference vocabulary
तक,correct spelling,high,in reference vocabulary
मेरा,correct spelling,high,in reference vocabulary
एक्सपीरियंस,correct spelling,high,in reference vocabulary
या,correct spelling,high,in reference vocabulary
हिल,correct spelling,high,in reference vocabulary
स्टेशन,correct spelling,high,in reference vocabulary
कैंम्पिंग,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
योजना,correct spelling,high,in reference vocabulary
बनाये,correct spelling,high,in reference vocabulary
नेपाल,correct spelling,high,in reference vocabulary
कुख्यात,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
बहोत,correct spelling,high,in reference vocabulary
बड़ी,correct spelling,medium,in reference vocabulary; not NFC normalized
बोर्डर,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
बिहा,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
बिहार,correct spelling,high,in reference vocabulary
बॉर्डर,correct spelling,high,in reference vocabulary
भारत,correct spelling,high,in reference vocabulary
बड़ा,correct spelling,high,in reference vocabulary
घनां,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
लगभग,correct spelling,high,in reference vocabulary
मेरे,correct spelling,high,in reference vocabulary
बारह,correct spelling,high,in reference vocabulary
मे,correct spelling,high,in reference vocabulary
फैला,correct spelling,high,in reference vocabulary
मैं,correct spelling,high,in reference vocabulary
बता,correct spelling,high,in reference vocabulary
हूँ,correct spelling,high,in reference vocabulary
अह्ह्ह,correct spelling,high,in reference vocabulary
ओर,correct spelling,high,in reference vocabulary
गुरु,correct spelling,high,in reference vocabulary
अह्ह्,incorrect spelling,low,misspelling patterns: halant at word end
गये,correct spelling,high,in reference vocabulary
लोगो,correct spelling,high,in reference vocabulary
अहह,correct spelling,high,in reference vocabulary
ठीक,correct spelling,high,in reference vocabulary
शोक,correct spelling,high,in reference vocabulary
चार,correct spelling,high,in reference vocabulary
दोस्त,correct spelling,high,in reference vocabulary
कैंप,correct spelling,high,in reference vocabulary
वगैरह,correct spelling,high,in reference vocabulary
चीज,correct spelling,high,in reference vocabulary
निकल,correct spelling,high,in reference vocabulary
ट्रेन,correct spelling,high,in reference vocabulary
पकड़,correct spelling,high,in reference vocabulary
जाकर,correct spelling,high,in reference vocabulary
स्टील,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
ज्वेलर्स,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
जरूरी,correct spelling,high,in reference vocabulary
चीजे,correct spelling,high,in reference vocabulary
लेके,correct spelling,high,in reference vocabulary
मै,correct spelling,high,in reference vocabulary
लोगों,correct spelling,high,in reference vocabulary
पहला,correct spelling,high,in reference vocabulary
उतना,correct spelling,high,in reference vocabulary
वीडियो,correct spelling,high,in reference vocabulary
देख,correct spelling,high,in reference vocabulary
सीखा,correct spelling,high,in reference vocabulary
वही,correct spelling,high,in reference vocabulary
मिजोरम,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
हूं,correct spelling,high,in reference vocabulary
घना,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
अभी,correct spelling,high,in reference vocabulary
सेर,correct spelling,high,in reference vocabulary
घूमते,correct spelling,high,in reference vocabulary
रातों,correct spelling,high,in reference vocabulary
उस,correct spelling,high,in reference vocabulary
रुकी,correct spelling,high,in reference vocabulary
चारों,correct spelling,high,in reference vocabulary
बंदर,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
पक्षियों,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
पशु,correct spelling,high,in reference vocabulary
पास,correct spelling,high,in reference vocabulary
वहीं,correct spelling,high,in reference vocabulary
लगना,correct spelling,high,in reference vocabulary
स्टार्ट,correct spelling,high,in reference vocabulary
मैंने,correct spelling,high,in reference vocabulary
कहा,correct spelling,high,in reference vocabulary
बिताई,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
भयानक,correct spelling,high,in reference vocabulary
जिस,correct spelling,high,in reference vocabulary
जगह,correct spelling,high,in reference vocabulary
सोए,correct spelling,high,in reference vocabulary
ह,correct spelling,medium,"in reference vocabulary; single character, likely noise"
चीट,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
लोके,correct spelling,high,in reference vocabulary
लो,correct spelling,high,in reference vocabulary
स,correct spelling,high,in reference vocabulary
शेर,correct spelling,high,in reference vocabulary
दहाड़ने,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
चीज़,correct spelling,high,in reference vocabulary
मुझ,correct spelling,high,in reference vocabulary
कब,correct spelling,high,in reference vocabulary
पूरी,correct spelling,high,in reference vocabulary
इसकी,correct spelling,high,in reference vocabulary
चक्कर,correct spelling,high,in reference vocabulary
सोन,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
डरावना,correct spelling,high,in reference vocabulary
बोले,correct spelling,high,in reference vocabulary
मज़ेदार,correct spelling,high,in reference vocabulary
दोनों,correct spelling,high,in reference vocabulary
REDACTED,incorrect spelling,high,Roman script in Devanagari transcription
खाना,correct spelling,high,in reference vocabulary
चीजों,correct spelling,high,in reference vocabulary
पैक,correct spelling,high,in reference vocabulary
करना,correct spelling,high,in reference vocabulary
याद,correct spelling,high,in reference vocabulary
विडोज़,incorrect spelling,low,not NFC normalized
देखे,correct spelling,high,in reference vocabulary
थ्रू,correct spelling,high,in reference vocabulary
ओनलाइन,correct spelling,high,in reference vocabulary
मंगाया,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
बना,correct spelling,high,in reference vocabulary
खाने,correct spelling,high,in reference vocabulary
अलग,correct spelling,high,in reference vocabulary
वाले,correct spelling,high,in reference vocabulary
सामान,correct spelling,high,in reference vocabulary
बनाने,correct spelling,high,in reference vocabulary
सारी,correct spelling,high,in reference vocabulary
सभी,correct spelling,high,in reference vocabulary
साम्रगी,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
लकड़ी,correct spelling,high,in reference vocabulary
जला,correct spelling,high,in reference vocabulary
पुराने,correct spelling,high,in reference vocabulary
करते,correct spelling,high,in reference vocabulary
बिल्कुल,correct spelling,high,in reference vocabulary
किया,correct spelling,high,in reference vocabulary
वैसे,correct spelling,high,in reference vocabulary
हू,correct spelling,high,in reference vocabulary
ठंड,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
मौसम,correct spelling,high,in reference vocabulary
इसे,correct spelling,high,in reference vocabulary
छुपछुप,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
खेला,correct spelling,high,in reference vocabulary
यही,correct spelling,high,in reference vocabulary
शरारत,correct spelling,high,in reference vocabulary
आपकी,correct spelling,high,in reference vocabulary
ऐसी,correct spelling,high,in reference vocabulary
सकते,correct spelling,high,in reference vocabulary
कट,correct spelling,high,in reference vocabulary
थोडी,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
हलो,correct spelling,high,in reference vocabulary
आवाज़,correct spelling,high,in reference vocabulary
थोड़ी,correct spelling,high,in reference vocabulary
हेल्लो,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
बोला,correct spelling,high,in reference vocabulary
आपने,correct spelling,high,in reference vocabulary
बचपन,correct spelling,high,in reference vocabulary
मां,correct spelling,high,in reference vocabulary
चीजें,correct spelling,high,in reference vocabulary
पेरेंट्स,correct spelling,high,in reference vocabulary
बोलें,correct spelling,high,in reference vocabulary
मना,correct spelling,high,in reference vocabulary
करी,correct spelling,high,in reference vocabulary
जैसा,correct spelling,high,in reference vocabulary
लंच,correct spelling,high,in reference vocabulary
वाली,correct spelling,high,in reference vocabulary
खेलना,correct spelling,high,in reference vocabulary
खेलने,correct spelling,high,in reference vocabulary
खाते,correct spelling,high,in reference vocabulary
दर,correct spelling,high,in reference vocabulary
फेंक,correct spelling,high,in reference vocabulary
उतनी,correct spelling,high,in reference vocabulary
अकल,correct spelling,high,in reference vocabulary
बैग,correct spelling,high,in reference vocabulary
ऊपर,correct spelling,high,in reference vocabulary
हिस्से,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
उसमें,correct spelling,high,in reference vocabulary
रख,correct spelling,high,in reference vocabulary
लेते,correct spelling,high,in reference vocabulary
खाली,correct spelling,high,in reference vocabulary
डिब्बा,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
बट,correct spelling,high,in reference vocabulary
इतनी,correct spelling,high,in reference vocabulary
दे,correct spelling,high,in reference vocabulary
खिला,correct spelling,high,in reference vocabulary
सोच,correct spelling,high,in reference vocabulary
साल,correct spelling,high,in reference vocabulary
धोती,correct spelling,high,in reference vocabulary
पंद्रह,correct spelling,high,in reference vocabulary
समय,correct spelling,high,in reference vocabulary
निकलता,correct spelling,high,in reference vocabulary
पराठे,correct spelling,high,in reference vocabulary
डांट,correct spelling,high,in reference vocabulary
पड़ती,correct spelling,high,in reference vocabulary
यह,correct spelling,high,in reference vocabulary
करती,correct spelling,high,in reference vocabulary
खाती,correct spelling,high,in reference vocabulary
कंप्लेंट,correct spelling,high,in reference vocabulary
बेसिकली,correct spelling,high,Known English loanword correctly transcribed in Devanagari
हर,correct spelling,high,in reference vocabulary
स्कूल,correct spelling,high,Known English loanword correctly transcribed in Devanagari
दाई,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
चेक,correct spelling,high,in reference vocabulary
उसको,correct spelling,high,in reference vocabulary
ज्यादा,correct spelling,high,in reference vocabulary
पैसे,correct spelling,high,in reference vocabulary
देती,correct spelling,high,in reference vocabulary
कोशिश,correct spelling,high,in reference vocabulary
लीजिएगा,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
खा,correct spelling,high,in reference vocabulary
छोटे,correct spelling,high,in reference vocabulary
खेलते,correct spelling,high,in reference vocabulary
दिनों,correct spelling,high,in reference vocabulary
बच्चों,correct spelling,high,in reference vocabulary
करें,correct spelling,high,in reference vocabulary
डिस्टर्ब,correct spelling,high,in reference vocabulary
जाना,correct spelling,high,in reference vocabulary
चाहती,correct spelling,high,in reference vocabulary
जाएं,correct spelling,high,in reference vocabulary
हमेशा,correct spelling,high,in reference vocabulary
बैठा,correct spelling,high,in reference vocabulary
डरावनी,correct spelling,high,in reference vocabulary
कहानिया,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
मारे,correct spelling,high,in reference vocabulary
देखते,correct spelling,high,in reference vocabulary
जितनी,correct spelling,high,in reference vocabulary
कहानियां,correct spelling,high,in reference vocabulary
बताईं,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
नजर,correct spelling,high,in reference vocabulary
कितना,correct spelling,high,in reference vocabulary
माने,correct spelling,high,in reference vocabulary
बंद,correct spelling,high,in reference vocabulary
देंगे,correct spelling,high,in reference vocabulary
आज,correct spelling,high,in reference vocabulary
कल,correct spelling,high,in reference vocabulary
बच्चे,correct spelling,high,in reference vocabulary
आगे,correct spelling,high,in reference vocabulary
टॉपिक,correct spelling,high,in reference vocabulary
निर्दोष,correct spelling,high,in reference vocabulary
कहानी,correct spelling,high,in reference vocabulary
सुनाइए,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
बताइए,correct spelling,high,in reference vocabulary
नतीजा,correct spelling,high,in reference vocabulary
निकला,correct spelling,high,in reference vocabulary
कभी,correct spelling,high,in reference vocabulary
जिनका,correct spelling,high,in reference vocabulary
भयंकर,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
हेलो,correct spelling,high,Known English loanword correctly transcribed in Devanagari
रहीं,correct spelling,high,in reference vocabulary
बिलकुल,correct spelling,high,in reference vocabulary
यादे,correct spelling,high,in reference vocabulary
बताओं,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
थर्ड,correct spelling,high,in reference vocabulary
फोर्ट,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
मेरी,correct spelling,high,in reference vocabulary
रोटी,correct spelling,high,in reference vocabulary
भुजिया,correct spelling,high,in reference vocabulary
पराठा,correct spelling,high,in reference vocabulary
पसंद,correct spelling,high,in reference vocabulary
जिससे,correct spelling,high,in reference vocabulary
सब्जी,correct spelling,high,in reference vocabulary
रहती,correct spelling,high,in reference vocabulary
लेती,correct spelling,high,in reference vocabulary
अच्छी,correct spelling,high,in reference vocabulary
लगती,correct spelling,high,in reference vocabulary
आपनी,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
बेस्ट,correct spelling,high,in reference vocabulary
फ्रेंड,correct spelling,high,in reference vocabulary
क्लास,correct spelling,high,in reference vocabulary
चलते,correct spelling,high,in reference vocabulary
दूसरों,correct spelling,high,in reference vocabulary
खुद,correct spelling,high,in reference vocabulary
उनका,correct spelling,high,in reference vocabulary
खराब,correct spelling,high,in reference vocabulary
लाइ,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
पास्ता,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
मैगी,correct spelling,high,in reference vocabulary
नूडल्स,correct spelling,high,in reference vocabulary
उसका,correct spelling,high,in reference vocabulary
शेयर,correct spelling,high,in reference vocabulary
टेस्टी,correct spelling,high,in reference vocabulary
दाल,correct spelling,high,in reference vocabulary
फ्राइ,correct spelling,high,in reference vocabulary
बनाकर,correct spelling,high,in reference vocabulary
एंड,correct spelling,high,in reference vocabulary
मैदा,correct spelling,high,in reference vocabulary
बस,correct spelling,high,in reference vocabulary
बगल,correct spelling,high,in reference vocabulary
बैठती,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
खिलाती,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
पुरिया,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
दो,correct spelling,high,in reference vocabulary
पुरी,correct spelling,high,in reference vocabulary
शरारतों,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
गर्मी,correct spelling,high,in reference vocabulary
महिने,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
निकलने,correct spelling,high,in reference vocabulary
देता,correct spelling,high,in reference vocabulary
