segment_id,recording_id,reference,asr_raw,asr_normalized,english_loanwords,num_changed
10,825780,अराम से हां आराम से सो रहे थे हम और पता है जब उठे ना तो ऐसे उन लोग चिला रहे थे तो मेको समझ में आ नहीं रहा था कि क्या बोल रहे ऐसे हुर कुछ हुर कुछ के बदक बदक उड़न्टा साथ कुछ रहे थे,अपते जब उखेना तो आज़े उलक चिला रहेते तंबूक नज्यान नात के क्या बोल ज़ाए तुछ तुछ तुछ क्यो बताग पुदडण्ता अज़ र,अपते जब उखेना तो आज़े उलक चिला रहेते तंबूक नज्यान नात के क्या बोल ज़ाए तुछ तुछ तुछ क्यो बताग पुदडण्ता अज़ र,,False
11,825780,बहुत अजीब सा अनुभव था क्योंकि वो पता है उठा उठा के उनको पटक रहे थे बार बार और वो किस भाषा में बात कर रहे थे मुझे समझ में नहीं आ रही थे तो जो हमारे गार्ड अंकल थे न वो आके फिर बताए कि नहीं नहीं ये लोग।,बद्याग तो बद्याग तो बद्याग तो बद्याग तो बद्याग तो बद्याग तो बद्याग तो बद्याग तो बद्याग तो बद्याग तो दब दब,बद्याग तो बद्याग तो बद्याग तो बद्याग तो बद्याग तो बद्याग तो बद्याग तो बद्याग तो बद्याग तो बद्याग तो दब दब,,False
12,825780,उनको लगा कि सायद उनको खतरा महसूस हो रहा था हम लोग से,उनको लगा कि साइद उनको ख़त्रा मैंसुस हो रहा था आम लोग से,उनको लगा कि साइद उनको ख़त्रा मैंसुस हो रहा था आम लोग से,,False
13,825780,"हां बाहरी आ गया तो, वहां के जो थे ना वो अपने भाषा में कुछ बात किए तो हमको तो कुछ समझ में नहीं आया, लेकिन वो अपने भाषा में बात कर रहे थे तो फिर फिर पता है हम को छोड़ दिए फिर घर घर तो नहीं।",अगर तनी अगर तनी अगर तनी अगर तनी अगर तनी अगर तनी अगर तनी अगर तनी अगर तनी अगर तनी अगर तनी अगर तनी अगर तनी अगर तनी अ,अगर तनी अगर तनी अगर तनी अगर तनी अगर तनी अगर तनी अगर तनी अगर तनी अगर तनी अगर तनी अगर तनी अगर तनी अगर तनी अगर तनी अ,,False
14,825780,अ रोड पे होता है न रोड का जो एरिया वो रोड पे हम लोग को छोड़ने आए और कुछ अपनी भाषा में ही बात कर रहे थे तो समझ में तो आए न लेकिन अब दुबारा हम घाटे तो नहीं जाएंगे,अगर बाद कर रोड पी होते है नहीं तो और उगर बाद कर रोड बाद कर रहे थो वगर बाद कर रहे थो वगर बाद कर रहे थो वगर बाद कर रहे थो व�,अगर बाद कर रोड पी होते है नहीं तो और उगर बाद कर रोड बाद कर रहे थो वगर बाद कर रहे थो वगर बाद कर रहे थो वगर बाद कर रहे थो व�,,False
16,825780,और फिर अमेजन का जंगन होता है ना वो उससे भी थोड़ा मतलब जुड़ा हुआ है,अप अमेजन कजंगन होता है ना वो उसे भी तोड़ा अप जुडा वा है,अप अमेजन कजंगन होता है ना वो उसे भी तोड़ा अप जुडा वा है,,False
19,825780,पता है लेकिन जब लोग घूमने जाते हैं तो लाइट वगैरा लेकर जाने चाहिए हम ने मिस्टेक किए कि हम लाइट नहीं ले गए थे,अपर पता है लेकि देम लोगोर ने जाते है ना तो लाइत वगेरा लेकि जाने जाने जाए हम मिच दे की अते किम लाइत लेकि नहीं गयत हैं,अपर पता है लेकि देम लोगोर ने जाते है ना तो लाइत वगेरा लेकि जाने जाने जाए हम मिच दे की अते किम लाइत लेकि नहीं गयत हैं,,False
20,825780,एरिया,,,,False
21,825780,तो जहां डर रहेगा वहा थोड़ा सा मजा आएगा वहा पर मजा आएगा वहा पर डर भी तो होनी चाहिए थोड़ा सा बढ़ना हम लोग भूल जायेगा न,तो जाए जाए तर रेडा वहा थोड़ा से मजाएगे जाएगे तो वहाँ देरबितो होनी चाहे थोड़ा से बड़ना हम लोग बूल जाएगे ना,तो जाए जाए तर रेडा वहा थोड़ा से मजाएगे जाएगे तो वहाँ देरबितो होनी चाहे थोड़ा से बड़ना हम लोग बूल जाएगे ना,,False
23,825780,आपको पता है आपको एक बात पता जब तंबू गाड़ के रहते हैं ना हम लोग टेंट वगेरा अगर कहीं भी कैम्पिंग करने जाते हैं तो आसपास की एरिया मतलब कुछ एरिया में थोड़ा पता है आग लहरा देना चाहिए,अपास की इडिया मतप कुछ इडिया में थोडा पता आगले रादेन जाएए ये,अपास की इडिया मतप कुछ इडिया में थोडा पता आगले रादेन जाएए ये,,False
